time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
5,0,0,10,0,0,0,0,0,0,0,0,0,BT474M3,4186.213772,31743.91025,1039.56483,456.7359614,730.9647548,8982.064937,220.2115104,47.12331539,0.296036121,18.65657792,5.302758403,7.180052824,NaN,,,,,
10,0,0,10,0,0,0,0,0,0,0,0,0,BT474M3,7305.314346,38479.28126,1334.896961,1004.879893,971.1092916,13692.16923,341.7465093,86.6970161,0.248369685,26.89128233,8.574673698,6.176384928,NaN,,,,,
15,0,0,10,0,0,0,0,0,0,0,0,0,BT474M3,9453.365924,51398.84496,1607.658332,951.0969083,1004.920075,14369.49592,354.2573615,73.00140915,0.217147556,21.3953409,8.424642512,6.191619729,NaN,,,,,
30,0,0,10,0,0,0,0,0,0,0,0,0,BT474M3,6591.893703,34778.78411,1209.694428,802.5997942,896.2507442,12949.97591,284.5687167,67.49994552,0.20336956,20.27105988,6.506957353,6.691813803,NaN,,,,,
60,0,0,10,0,0,0,0,0,0,0,0,0,BT474M3,9719.158704,50737.02249,1574.634061,872.8701954,881.3465641,12842.10967,282.8802095,70.32053636,0.130726218,26.41218137,7.521211214,6.995165297,NaN,,,,,
120,0,0,10,0,0,0,0,0,0,0,0,0,BT474M3,6240.952631,38243.80111,1659.216055,1228.108754,832.4555992,11688.81961,328.908496,67.82664801,0.181891551,27.34813372,8.209639862,7.124404996,NaN,,,,,
240,0,0,10,0,0,0,0,0,0,0,0,0,BT474M3,6304.278478,42029.25337,1589.547206,985.1222802,964.4468667,13385.56999,318.5522164,74.07350354,0.20119646,28.2598736,8.441860168,6.649192213,NaN,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,BT474M3,6950.589377,57331.13614,1962.115676,145.875124,1318.765266,12893.98661,382.5791798,81.06432237,0.126551218,57.13551544,12.38076196,4.872687387,NaN,3.142278991,132.5385681,2.811844172,3.5556,1.98606505
5,0,0,0,0,0,0,0,0,0,0,0,0,BT474M3,3601.841551,33795.55092,1352.171285,252.2941071,805.0035184,8884.175735,237.7791808,57.41595481,0.335354912,24.19106253,7.725670592,6.887655168,NaN,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,BT474M3,7100.768222,35463.53657,1340.118272,424.1185831,1105.488771,13876.11629,345.246409,83.09565477,0.254243468,22.68115429,7.447694031,6.406292887,NaN,,,,,
15,0,0,0,0,0,0,0,0,0,0,0,0,BT474M3,9775.864441,59366.9541,1894.559715,482.1388539,1355.651811,16670.30018,417.576958,87.33668678,0.182768769,32.28979586,13.98144692,5.107904716,NaN,,,,,
30,0,0,0,0,0,0,0,0,0,0,0,0,BT474M3,9150.350469,37630.04446,1399.834966,783.420684,897.340392,13274.62235,302.1561787,79.15327477,0.248828975,25.69226876,10.5500442,5.912378741,NaN,,,,,
60,0,0,0,0,0,0,0,0,0,0,0,0,BT474M3,7301.77197,49674.87247,1626.251568,475.537588,773.8915718,12432.39389,273.8131509,57.68874698,0.157363796,17.59471569,7.000636656,6.945569575,NaN,,,,,
120,0,0,0,0,0,0,0,0,0,0,0,0,BT474M3,6275.455706,42061.30401,1625.8585,558.9560211,818.6546542,12250.74264,290.5699279,60.92058673,0.172375356,21.07103976,7.810595276,7.977668828,NaN,,,,,
240,0,0,0,0,0,0,0,0,0,0,0,0,BT474M3,5512.434145,36648.17145,1474.289353,545.7177468,883.2913566,11214.85925,303.6830747,70.05033991,0.147366324,32.47273183,11.85532596,5.882031705,NaN,,,,,
