time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pMet_au,pERK_au,pAKT_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
120,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,,30091.97281,2900.605475,,,,,
2,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,65.64612476,4.934643359,1.188344048,3.3311,10.72007962
3,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
4,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
5,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
7,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
10,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
20,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
30,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
60,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
90,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,5276.955567,13983.04056,3150.157175,,,,,
120,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_197,,,13983.04056,3150.157175,,,,,
5,9,0,0,9,0,0,0,0,0,0,1,0,ACHN_DM,1662230.623,104140.5012,89040.50338,33968.98332,,,,,
5,3,0,0,9,0,0,0,0,0,0,1,0,ACHN_DM,1416194.044,114905.9529,117313.3027,41325.91879,,,,,
5,1,0,0,9,0,0,0,0,0,0,1,0,ACHN_DM,983071.4205,102231.2107,100626.9045,47813.98882,,,,,
5,0.111111111,0,0,9,0,0,0,0,0,0,1,0,ACHN_DM,296225.9285,89269.18574,102826.0649,63965.14185,,,,,
5,9,0,0,3,0,0,0,0,0,0,1,0,ACHN_DM,1733633.198,105906.0184,88367.8208,27419.78577,,,,,
5,3,0,0,3,0,0,0,0,0,0,1,0,ACHN_DM,1503488.033,109053.886,109217.6763,32551.77608,,,,,
5,1,0,0,3,0,0,0,0,0,0,1,0,ACHN_DM,1106767.543,106994.648,102780.7868,49340.59353,,,,,
5,0.111111111,0,0,3,0,0,0,0,0,0,1,0,ACHN_DM,279280.1078,94182.7288,119330.9098,47915.26605,,,,,
5,9,0,0,1,0,0,0,0,0,0,1,0,ACHN_DM,1748541.336,60609.11577,90909.56691,33319.36429,,,,,
5,3,0,0,1,0,0,0,0,0,0,1,0,ACHN_DM,1575635.388,78294.61759,101716.2243,36763.47277,,,,,
5,1,0,0,1,0,0,0,0,0,0,1,0,ACHN_DM,1261748.579,73898.38399,110430.7824,40757.50214,,,,,
5,0.111111111,0,0,1,0,0,0,0,0,0,1,0,ACHN_DM,303608.1216,59201.17168,128280.7721,61886.36097,,,,,
5,9,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_DM,1822241.012,25059.37833,102335.1559,22710.04783,,,,,
5,3,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_DM,1873865.094,32871.65935,104934.669,30657.05392,,,,,
5,1,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_DM,1285317.914,23309.82422,90352.63855,27733.7683,,,,,
5,0.333333333,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_DM,701511.3803,19319.05298,157420.0758,46937.00313,,,,,
5,0.111111111,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_DM,306636.1017,14801.49994,153236.0976,52215.15772,,,,,
5,0.037037037,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_DM,214496.8631,19874.51558,114346.4467,67919.69768,,,,,
5,0,0,0,0,0,0,0,0,0,0,1,0,ACHN_DM,70262.82445,7853.115379,46336.67091,18474.40951,65.64612476,4.934643359,1.188344048,3.3311,10.72007962
25,9,0,0,9,0,0,0,0,0,0,1,0,ACHN_DM,953459.0255,139011.9892,43350.1296,24233.80922,,,,,
25,3,0,0,9,0,0,0,0,0,0,1,0,ACHN_DM,915526.3624,146596.2932,77882.15515,25245.92337,,,,,
25,1,0,0,9,0,0,0,0,0,0,1,0,ACHN_DM,851622.1042,155398.8456,93429.49897,29742.69899,,,,,
25,0.111111111,0,0,9,0,0,0,0,0,0,1,0,ACHN_DM,253701.2143,145490.9048,112606.614,56227.48473,,,,,
25,9,0,0,3,0,0,0,0,0,0,1,0,ACHN_DM,929952.0818,149273.6064,68257.60898,27779.6051,,,,,
25,3,0,0,3,0,0,0,0,0,0,1,0,ACHN_DM,920658.8443,159453.0627,91261.33198,25619.52255,,,,,
25,1,0,0,3,0,0,0,0,0,0,1,0,ACHN_DM,831480.8672,156860.7436,91419.97834,28458.87635,,,,,
25,0.111111111,0,0,3,0,0,0,0,0,0,1,0,ACHN_DM,252614.6475,164433.7151,120558.0275,50508.02087,,,,,
25,9,0,0,1,0,0,0,0,0,0,1,0,ACHN_DM,990790.9851,118143.1123,59875.79267,21380.87,,,,,
