time,nExpID,SOCS3_noHK_qpcr_scaled,input_ActD,input_apap,input_dcf,input_il6,HAMP_noHK_qpcr_scaled,TFRC_qpcr_scaled,gp130_qpcr_scaled,STAT3_qpcr_scaled,Experiment
120,11,210,1,0,0,10,2770,NaN,NaN,NaN,Anja_2018_19
150,10,153,1,0,0,10,2380,NaN,NaN,NaN,Anja_2018_19
150,11,157,1,0,0,10,2310,NaN,NaN,NaN,Anja_2018_19
240,10,141,1,0,0,10,1910,NaN,NaN,NaN,Anja_2018_19
240,11,141,1,0,0,10,1600,NaN,NaN,NaN,Anja_2018_19
360,10,67.2,1,0,0,10,448,NaN,NaN,NaN,Anja_2018_19
360,11,61.7,1,0,0,10,516,NaN,NaN,NaN,Anja_2018_19
50,10,623,1,10,0,10,1440,NaN,NaN,NaN,Anja_2018_19
50,11,624,1,10,0,10,1430,NaN,NaN,NaN,Anja_2018_19
60,10,971,1,10,0,10,2880,NaN,NaN,NaN,Anja_2018_19
60,11,918,1,10,0,10,2680,NaN,NaN,NaN,Anja_2018_19
70,10,445,1,10,0,10,1310,NaN,NaN,NaN,Anja_2018_19
70,11,468,1,10,0,10,1440,NaN,NaN,NaN,Anja_2018_19
90,10,520,1,10,0,10,1390,NaN,NaN,NaN,Anja_2018_19
90,11,463,1,10,0,10,1290,NaN,NaN,NaN,Anja_2018_19
120,10,319,1,10,0,10,1510,NaN,NaN,NaN,Anja_2018_19
120,11,312,1,10,0,10,1240,NaN,NaN,NaN,Anja_2018_19
150,10,217,1,10,0,10,1320,NaN,NaN,NaN,Anja_2018_19
150,11,211,1,10,0,10,1480,NaN,NaN,NaN,Anja_2018_19
240,10,190,1,10,0,10,1140,NaN,NaN,NaN,Anja_2018_19
240,11,178,1,10,0,10,1080,NaN,NaN,NaN,Anja_2018_19
360,10,146,1,10,0,10,893,NaN,NaN,NaN,Anja_2018_19
360,11,147,1,10,0,10,925,NaN,NaN,NaN,Anja_2018_19
0,12,6.8,0,0,0,0,1270,NaN,NaN,NaN,Anja_2018_21
0,13,3.2,0,0,0,0,1350,NaN,NaN,NaN,Anja_2018_21
40,12,7600,0,0,0,10,3810,NaN,NaN,NaN,Anja_2018_21
40,13,7200,0,0,0,10,3640,NaN,NaN,NaN,Anja_2018_21
50,12,6540,0,0,0,10,4580,NaN,NaN,NaN,Anja_2018_21
50,13,6710,0,0,0,10,4720,NaN,NaN,NaN,Anja_2018_21
60,12,3310,0,0,0,10,3610,NaN,NaN,NaN,Anja_2018_21
60,13,3230,0,0,0,10,3610,NaN,NaN,NaN,Anja_2018_21
70,12,2360,0,0,0,10,5310,NaN,NaN,NaN,Anja_2018_21
70,13,2290,0,0,0,10,5140,NaN,NaN,NaN,Anja_2018_21
90,12,422,0,0,0,10,4860,NaN,NaN,NaN,Anja_2018_21
90,13,395,0,0,0,10,4780,NaN,NaN,NaN,Anja_2018_21
120,12,156,0,0,0,10,2820,NaN,NaN,NaN,Anja_2018_21
120,13,140,0,0,0,10,2570,NaN,NaN,NaN,Anja_2018_21
150,12,208,0,0,0,10,3780,NaN,NaN,NaN,Anja_2018_21
150,13,190,0,0,0,10,3550,NaN,NaN,NaN,Anja_2018_21
240,12,241,0,0,0,10,1260,NaN,NaN,NaN,Anja_2018_21
240,13,275,0,0,0,10,1180,NaN,NaN,NaN,Anja_2018_21
360,12,222,0,0,0,10,341,NaN,NaN,NaN,Anja_2018_21
360,13,235,0,0,0,10,370,NaN,NaN,NaN,Anja_2018_21
40,12,2930,0,10,0,10,2730,NaN,NaN,NaN,Anja_2018_21
40,13,2920,0,10,0,10,2580,NaN,NaN,NaN,Anja_2018_21
50,12,3030,0,10,0,10,2780,NaN,NaN,NaN,Anja_2018_21
50,13,3130,0,10,0,10,2600,NaN,NaN,NaN,Anja_2018_21
60,12,4860,0,10,0,10,4660,NaN,NaN,NaN,Anja_2018_21
60,13,4720,0,10,0,10,4620,NaN,NaN,NaN,Anja_2018_21
70,12,5660,0,10,0,10,5890,NaN,NaN,NaN,Anja_2018_21
70,13,4990,0,10,0,10,5790,NaN,NaN,NaN,Anja_2018_21
90,12,4640,0,10,0,10,7890,NaN,NaN,NaN,Anja_2018_21
90,13,4630,0,10,0,10,8110,NaN,NaN,NaN,Anja_2018_21
120,12,1370,0,10,0,10,6620,NaN,NaN,NaN,Anja_2018_21
120,13,1330,0,10,0,10,6400,NaN,NaN,NaN,Anja_2018_21
150,12,505,0,10,0,10,5310,NaN,NaN,NaN,Anja_2018_21
150,13,423,0,10,0,10,5080,NaN,NaN,NaN,Anja_2018_21
240,12,184,0,10,0,10,2150,NaN,NaN,NaN,Anja_2018_21
240,13,186,0,10,0,10,2040,NaN,NaN,NaN,Anja_2018_21
360,12,261,0,10,0,10,314,NaN,NaN,NaN,Anja_2018_21
360,13,228,0,10,0,10,295,NaN,NaN,NaN,Anja_2018_21
50,12,7070,1,0,0,10,4880,NaN,NaN,NaN,Anja_2018_21
50,13,6750,1,0,0,10,4570,NaN,NaN,NaN,Anja_2018_21
60,12,3250,1,0,0,10,3140,NaN,NaN,NaN,Anja_2018_21
60,13,3240,1,0,0,10,3200,NaN,NaN,NaN,Anja_2018_21
70,12,2000,1,0,0,10,3400,NaN,NaN,NaN,Anja_2018_21
70,13,1990,1,0,0,10,3230,NaN,NaN,NaN,Anja_2018_21
90,12,894,1,0,0,10,3990,NaN,NaN,NaN,Anja_2018_21
90,13,853,1,0,0,10,3600,NaN,NaN,NaN,Anja_2018_21
120,12,371,1,0,0,10,2590,NaN,NaN,NaN,Anja_2018_21
120,13,378,1,0,0,10,2630,NaN,NaN,NaN,Anja_2018_21
150,12,333,1,0,0,10,2030,NaN,NaN,NaN,Anja_2018_21
150,13,324,1,0,0,10,1990,NaN,NaN,NaN,Anja_2018_21
240,12,265,1,0,0,10,1110,NaN,NaN,NaN,Anja_2018_21
240,13,233,1,0,0,10,1030,NaN,NaN,NaN,Anja_2018_21
360,12,175,1,0,0,10,485,NaN,NaN,NaN,Anja_2018_21
360,13,184,1,0,0,10,490,NaN,NaN,NaN,Anja_2018_21
50,12,1710,1,10,0,10,2110,NaN,NaN,NaN,Anja_2018_21
50,13,1750,1,10,0,10,2140,NaN,NaN,NaN,Anja_2018_21
60,12,3260,1,10,0,10,3560,NaN,NaN,NaN,Anja_2018_21
60,13,3200,1,10,0,10,3370,NaN,NaN,NaN,Anja_2018_21
70,12,1410,1,10,0,10,2220,NaN,NaN,NaN,Anja_2018_21
70,13,1400,1,10,0,10,2170,NaN,NaN,NaN,Anja_2018_21
90,12,1220,1,10,0,10,1950,NaN,NaN,NaN,Anja_2018_21
90,13,1220,1,10,0,10,1930,NaN,NaN,NaN,Anja_2018_21
120,12,1010,1,10,0,10,2630,NaN,NaN,NaN,Anja_2018_21
120,13,1030,1,10,0,10,2550,NaN,NaN,NaN,Anja_2018_21
150,12,695,1,10,0,10,2110,NaN,NaN,NaN,Anja_2018_21
150,13,739,1,10,0,10,2060,NaN,NaN,NaN,Anja_2018_21
240,12,464,1,10,0,10,2870,NaN,NaN,NaN,Anja_2018_21
240,13,478,1,10,0,10,2560,NaN,NaN,NaN,Anja_2018_21
360,12,485,1,10,0,10,1140,NaN,NaN,NaN,Anja_2018_21
360,13,521,1,10,0,10,1270,NaN,NaN,NaN,Anja_2018_21
