timepoint,well,indsyn,pptase,590,800,Indconc,Indconcnorm,IndconcNormRange,Bacnorm,ExpID,typeID
1000,B10,synT5,sfp,0.326909996,0.226910011,-0.006907537,-0.020692553,0.001253853,0.511530947,1,T5
1005,B10,synT5,sfp,0.330159991,0.229719986,-0.007791424,-0.023054863,0.000689476,0.51786557,1,T5
1010,B10,synT5,sfp,0.33457001,0.233050013,-0.008280357,-0.024151519,0.000377283,0.525372564,1,T5
1015,B10,synT5,sfp,0.337669986,0.234190004,-0.006857473,-0.019903995,0.00128582,0.527942484,1,T5
1020,B10,synT5,sfp,0.341239988,0.237050009,-0.007494953,-0.021491831,0.000878778,0.534389889,1,T5
1025,B10,synT5,sfp,0.344119997,0.239450009,-0.008145692,-0.023123716,0.000463269,0.539800292,1,T5
1030,B10,synT5,sfp,0.347889988,0.241760007,-0.007774043,-0.021857829,0.000700574,0.545007799,1,T5
1035,B10,synT5,sfp,0.351220012,0.243449987,-0.006930225,-0.019350049,0.001239367,0.548817577,1,T5
1040,B10,synT5,sfp,0.354719991,0.245980001,-0.007152264,-0.01976461,0.001097591,0.554521075,1,T5
1045,B10,synT5,sfp,0.358880003,0.248629998,-0.006890781,-0.018839068,0.001264552,0.560495052,1,T5
1050,B10,synT5,sfp,0.361120009,0.250680011,-0.007666641,-0.020788824,0.000769152,0.565116466,1,T5
1055,B10,synT5,sfp,0.364419997,0.252200014,-0.006602798,-0.017796206,0.001448434,0.568543061,1,T5
1060,B10,synT5,sfp,0.366249994,0.253559994,-0.006773529,-0.01815845,0.00133942,0.57160891,1,T5
1065,B10,synT5,sfp,0.367729992,0.255229992,-0.00775034,-0.020641133,0.000715709,0.575373643,1,T5
1070,B10,synT5,sfp,0.370189988,0.255909996,-0.006290729,-0.016709299,0.001647696,0.576906599,1,T5
1075,B10,synT5,sfp,0.371809997,0.257110003,-0.006436103,-0.01701565,0.001554872,0.579611815,1,T5
1080,B10,synT5,sfp,0.373190004,0.258549994,-0.007174534,-0.018862257,0.001083371,0.582858037,1,T5
1085,B10,synT5,sfp,0.374700009,0.259060013,-0.006414839,-0.016831774,0.00156845,0.584007789,1,T5
1090,B10,synT5,sfp,0.376680008,0.261169995,-0.007538929,-0.019621442,0.000850698,0.588764393,1,T5
1095,B10,synT5,sfp,0.37825999,0.261360007,-0.006238484,-0.016224989,0.001681056,0.589192744,1,T5
1100,B10,synT5,sfp,0.379740009,0.262579999,-0.006553249,-0.016964441,0.001480072,0.591943014,1,T5
1105,B10,synT5,sfp,0.382009991,0.263830012,-0.006122219,-0.015773539,0.001755293,0.594760961,1,T5
1110,B10,synT5,sfp,0.38286001,0.264469985,-0.006213692,-0.015970475,0.001696886,0.596203673,1,T5
1115,B10,synT5,sfp,0.384530001,0.265969998,-0.006750438,-0.017252174,0.001354164,0.599585205,1,T5
1120,B10,synT5,sfp,0.386199992,0.266320003,-0.005595355,-0.01428132,0.002091705,0.600374232,1,T5
1125,B10,synT5,sfp,0.387219989,0.26734999,-0.006090618,-0.015485517,0.00177547,0.602696166,1,T5
1130,B10,synT5,sfp,0.388369986,0.268060002,-0.005985153,-0.015177063,0.001842812,0.604296772,1,T5
1135,B10,synT5,sfp,0.389069989,0.268430014,-0.00582949,-0.014761959,0.001942206,0.605130901,1,T5
1140,B10,synT5,sfp,0.389860003,0.269679987,-0.006878369,-0.017337291,0.001272478,0.607948759,1,T5
1145,B10,synT5,sfp,0.391619994,0.27012001,-0.005765714,-0.014509113,0.001982927,0.608940716,1,T5
1150,B10,synT5,sfp,0.392730015,0.271370001,-0.006494611,-0.016268062,0.001517514,0.611758614,1,T5
1155,B10,synT5,sfp,0.393590012,0.272359992,-0.007091034,-0.017697454,0.001136687,0.613990384,1,T5
1160,B10,synT5,sfp,0.395369998,0.273150012,-0.006473282,-0.016108972,0.001531133,0.615771353,1,T5
1165,B10,synT5,sfp,0.39595999,0.273170012,-0.005912713,-0.014712901,0.001889066,0.615816439,1,T5
1170,B10,synT5,sfp,0.397029996,0.273940007,-0.005975482,-0.014827296,0.001848987,0.617552265,1,T5
1175,B10,synT5,sfp,0.398129992,0.2748,-0.006140661,-0.015189479,0.001743518,0.619490978,1,T5
1180,B10,synT5,sfp,0.399019992,0.275390009,-0.006118649,-0.015102604,0.001757573,0.620821054,1,T5
1185,B10,synT5,sfp,0.399839994,0.275780006,-0.00587239,-0.014474268,0.001914813,0.621700239,1,T5
1190,B10,synT5,sfp,0.40158001,0.276340003,-0.00495621,-0.012191313,0.00249981,0.622962659,1,T5
1195,B10,synT5,sfp,0.402300004,0.277980007,-0.0066489,-0.016258511,0.001418997,0.626659776,1,T5
1200,B10,synT5,sfp,0.403029989,0.277760008,-0.005595265,-0.0136929,0.002091762,0.626163824,1,T5
1205,B10,synT5,sfp,0.403320012,0.278530001,-0.006438013,-0.015711744,0.001553653,0.627899645,1,T5
1210,B10,synT5,sfp,0.405219992,0.279520005,-0.005994472,-0.014577483,0.001836862,0.630131445,1,T5
